Fiscal_Year_Released,Recidivism_Reporting_Year,Age_At_Release,Days_To_Return,Release_Type,Race_Ethnicity,Sex,Offense_Classification,Offense_Type,Offense_Subtype,Return_To_Prison,Recidivism_Type,New_Offense_Classification,New_Offense_Type,New_Offense_Subtype
2010,2013,3,735,4,10,1,6,3,23,2,1,6,3,9
2010,2013,1,332,2,10,2,6,3,6,2,1,3,3,23
2010,2013,1,713,2,10,2,3,3,26,2,1,6,1,7
2010,2013,1,0,2,7,2,13,1,25,1,2,0,0,0
2010,2013,2,563,4,9,2,6,4,16,2,3,0,0,0
2010,2013,4,0,2,10,1,6,3,9,1,2,0,0,0
2010,2013,4,0,2,10,1,6,3,9,1,2,0,0,0
2010,2013,2,574,2,10,2,5,3,6,2,3,0,0,0
2010,2013,4,0,4,10,2,6,3,6,1,2,0,0,0
2010,2013,4,0,4,10,2,6,3,6,1,2,0,0,0
2010,2013,1,0,4,9,2,6,3,9,1,2,0,0,0
2010,2013,2,414,4,10,2,6,1,25,2,3,0,0,0
2010,2013,3,0,4,10,2,6,4,24,1,2,0,0,0
2010,2013,1,150,12,10,2,6,5,19,2,3,0,0,0
2010,2013,2,0,2,9,2,5,5,15,1,2,0,0,0
2010,2013,2,0,2,9,2,5,5,15,1,2,0,0,0
2010,2013,2,216,4,7,2,3,4,24,2,3,0,0,0
2010,2013,4,0,2,7,1,6,3,9,1,2,0,0,0
2010,2013,2,474,2,10,2,6,4,16,2,1,6,4,16
2010,2013,4,1079,4,10,2,4,1,25,2,3,0,0,0
2010,2013,1,0,2,10,2,6,3,23,1,2,0,0,0
2010,2013,1,0,2,10,2,6,3,23,1,2,0,0,0
2010,2013,1,0,2,10,2,6,3,23,1,2,0,0,0
2010,2013,1,0,2,10,2,6,3,23,1,2,0,0,0
2010,2013,1,0,2,10,2,6,3,23,1,2,0,0,0
2010,2013,1,0,2,10,2,6,3,23,1,2,0,0,0
2010,2013,1,0,2,10,2,6,3,23,1,2,0,0,0
2010,2013,1,0,2,10,2,6,3,23,1,2,0,0,0
2010,2013,1,0,2,10,2,6,3,23,1,2,0,0,0
2010,2013,2,0,4,7,2,6,1,13,1,2,0,0,0
2010,2013,3,0,2,7,2,6,3,9,1,2,0,0,0
2010,2013,3,0,2,7,2,6,3,9,1,2,0,0,0
2010,2013,3,0,2,7,2,6,3,9,1,2,0,0,0
2010,2013,1,547,4,10,2,4,1,25,2,3,0,0,0
2010,2013,4,0,2,7,2,6,3,9,1,2,0,0,0
